years_owned,property_value,square_feet,bedrooms,bathrooms,property_age,neighborhood,distance_to_t,school_rating,property_tax,has_liens,lien_amount,mortgage_rate,income_to_mortgage_ratio,market_inventory_months,avg_days_on_market,last_transaction_date,sale_probability
1,767889,1245,2,2.5,105,Allston,0.32,4.4,4950,0,0,6.05,2.32,4.9,13,2024-04-08,0.18
4,555918,1584,3,2.0,45,South Boston,0.06,5.6,4740,0,0,5.35,2.45,4.4,81,2021-04-09,0.46
3,959466,474,2,3.0,97,East Boston,0.04,8.2,4950,0,0,4.04,4.55,4.3,52,2022-04-09,0.29
2,868045,1949,2,3.0,146,Dorchester,0.2,7.3,5946,1,6766,4.27,5.1,1.5,76,2023-04-09,0.26
26,1018557,1800,2,1.0,130,West Roxbury,0.05,7.1,2951,0,0,4.75,2.73,3.3,63,1999-04-15,0.1
4,940551,1228,2,2.5,120,North End,0.08,8.9,7586,0,0,2.0,5.21,2.9,46,2021-04-09,0.33
16,1064865,2261,3,2.0,85,Hyde Park,1.17,5.5,6007,0,0,5.92,3.22,3.7,26,2009-04-12,0.16
7,589429,2456,4,4.0,83,Allston,0.03,5.9,6671,0,0,4.32,4.36,4.3,21,2018-04-10,0.43
12,1145218,674,2,2.0,159,Dorchester,0.75,5.7,3439,0,0,5.97,4.87,2.7,67,2013-04-11,0.12
5,809279,1266,3,4.0,99,East Boston,0.22,4.0,2770,0,0,5.08,1.72,2.8,28,2020-04-09,0.58
7,1372578,1261,3,2.5,100,Brighton,1.44,7.2,7365,1,16627,4.26,4.04,4.5,21,2018-04-10,0.21
5,543243,1142,2,1.5,310,Roslindale,0.46,6.2,2684,1,24639,4.8,5.21,1.8,25,2020-04-09,0.23
2,1270789,2380,3,2.0,70,Back Bay,0.26,5.9,5298,0,0,4.8,2.83,2.4,69,2023-04-09,0.21
9,809373,1664,2,4.0,20,Hyde Park,0.51,5.6,7037,0,0,6.71,2.23,3.5,22,2016-04-10,0.42
3,554574,1614,3,3.0,76,Back Bay,0.34,7.0,4746,0,0,4.59,4.09,4.8,29,2022-04-09,0.39
1,604834,400,3,1.0,79,Fenway,0.58,5.8,7340,0,0,4.93,3.66,2.0,34,2024-04-08,0.31
8,653895,2244,2,2.5,98,Hyde Park,0.09,7.3,4456,1,10866,2.61,3.11,6.2,40,2017-04-10,0.11
2,877249,932,2,1.5,111,North End,4.06,7.7,2445,0,0,4.43,3.5,1.5,21,2023-04-09,0.41
20,906850,1841,3,1.0,22,Back Bay,0.39,6.6,5748,0,0,6.68,1.5,5.8,33,2005-04-13,0.07
22,577889,1994,4,2.0,112,Jamaica Plain,0.3,6.5,5396,0,0,5.14,3.99,5.3,58,2003-04-14,0.01
18,742693,2752,2,1.5,82,East Boston,0.87,7.3,10375,0,0,2.88,5.41,1.4,104,2007-04-13,0.01
4,1392681,883,3,3.0,72,East Boston,0.32,7.0,3109,0,0,3.04,2.64,1.1,20,2021-04-09,0.44
1,1268262,400,3,1.5,29,Charlestown,1.25,9.0,4496,0,0,3.39,2.51,4.6,21,2024-04-08,0.07
19,880897,1928,4,3.0,177,Back Bay,0.42,7.5,3538,0,0,6.0,3.71,2.9,23,2006-04-13,0.05
4,761401,3060,4,1.0,66,Allston,0.89,8.6,4715,0,0,5.81,6.92,2.0,50,2021-04-09,0.34
24,786009,2667,3,1.5,121,Jamaica Plain,0.08,7.9,4634,0,0,2.0,4.82,6.2,20,2001-04-14,0.13
24,934055,1946,3,1.5,51,South End,1.31,5.0,3255,0,0,4.38,3.39,1.7,32,2001-04-14,0.01
14,443162,1455,4,1.5,101,Fenway,0.93,6.2,5936,0,0,4.72,3.55,2.4,31,2011-04-12,0.23
3,672787,2364,3,1.0,73,Brighton,0.17,6.9,4571,0,0,3.06,4.94,2.6,109,2022-04-09,0.3
4,249424,1118,2,1.5,119,South End,0.11,8.3,7690,0,0,3.91,2.41,0.5,26,2021-04-09,0.46
14,869766,2133,1,2.0,72,South End,0.27,9.9,3702,0,0,6.5,4.23,3.6,25,2011-04-12,0.33
3,944158,2153,4,1.5,50,Hyde Park,2.61,6.3,8722,0,0,5.11,2.16,2.1,50,2022-04-09,0.21
2,605044,2542,4,2.0,84,Fenway,0.21,7.1,5551,1,5618,3.75,4.61,4.7,42,2023-04-09,0.11
6,1222196,3731,2,2.0,81,Roxbury,0.43,8.2,7542,0,0,4.22,3.15,4.9,24,2019-04-10,0.66
20,382270,2074,3,3.0,97,Beacon Hill,0.02,6.9,5230,0,0,4.16,3.74,3.8,72,2005-04-13,0.01
9,310687,1443,3,3.5,139,Brighton,0.35,9.5,3438,0,0,4.92,3.07,3.9,17,2016-04-10,0.34
6,817335,1782,2,2.0,43,Roslindale,0.59,5.0,4472,0,0,2.36,4.34,3.7,34,2019-04-10,0.48
1,1064129,561,5,1.5,135,Mattapan,2.14,8.0,2226,0,0,3.5,3.29,2.4,30,2024-04-08,0.27
7,1255178,1313,2,1.0,39,Roslindale,0.51,8.0,4776,1,13599,6.05,6.09,2.6,33,2018-04-10,0.04
33,612334,1513,1,4.0,117,Beacon Hill,1.2,8.7,5344,0,0,4.39,5.2,5.5,24,1992-04-16,0.36
2,1073604,1433,3,1.0,119,South Boston,0.55,7.1,5091,0,0,3.23,1.93,4.6,33,2023-04-09,0.07
6,738447,1906,3,1.5,64,Beacon Hill,0.03,8.3,7660,0,0,3.29,3.73,3.8,39,2019-04-10,0.35
15,698211,1224,1,1.5,53,Back Bay,0.26,6.6,4701,0,0,5.58,4.38,4.4,12,2010-04-12,0.21
10,1015097,2584,3,1.5,51,Beacon Hill,0.6,5.8,1212,0,0,3.72,2.95,3.4,27,2015-04-11,0.26
9,945696,1800,3,1.5,88,Roxbury,2.11,5.6,12088,0,0,5.27,4.95,3.8,23,2016-04-10,0.26
9,277082,1793,2,2.5,123,Beacon Hill,1.37,4.8,3618,0,0,3.56,4.81,4.4,89,2016-04-10,0.43
4,1192962,1570,2,1.0,78,Hyde Park,0.18,6.3,6937,0,0,2.81,3.4,0.5,45,2021-04-09,0.29
3,1164027,1908,3,2.0,18,Dorchester,0.17,7.5,1991,0,0,4.87,4.68,4.9,22,2022-04-09,0.22
12,562331,2377,2,1.0,61,Hyde Park,0.16,6.7,5490,0,0,4.35,0.61,4.8,26,2013-04-11,0.2
12,868741,1193,4,1.0,60,Dorchester,1.79,7.3,3410,0,0,5.53,5.13,2.3,30,2013-04-11,0.21
15,898209,1339,4,3.5,110,Roslindale,1.34,8.9,1000,0,0,5.83,4.56,5.4,26,2010-04-12,0.01
18,828202,1587,5,1.5,113,Roxbury,1.04,6.2,4434,0,0,3.96,2.19,0.5,47,2007-04-13,0.09
6,584908,857,2,3.0,92,South End,0.35,10.0,4899,0,0,5.02,3.8,4.0,80,2019-04-10,0.44
5,548512,1226,5,2.0,135,Roxbury,0.49,8.1,4562,0,0,3.92,1.07,3.6,10,2020-04-09,0.34
12,742333,1466,3,1.0,141,Mattapan,0.44,6.7,5486,0,0,5.45,2.58,3.0,29,2013-04-11,0.15
8,1101818,2412,2,4.0,63,South End,0.2,6.7,4460,0,0,4.85,4.81,3.5,103,2017-04-10,0.42
9,913080,1983,1,1.5,50,Mattapan,0.49,5.5,5138,0,0,3.56,3.48,4.4,30,2016-04-10,0.45
12,638815,1935,1,3.0,81,Back Bay,0.02,7.0,5340,0,0,3.44,3.42,0.8,40,2013-04-11,0.18
16,981509,2395,3,1.5,92,Allston,0.1,3.8,4929,0,0,4.9,3.55,5.0,12,2009-04-12,0.12
3,200000,1703,3,3.0,62,Dorchester,1.52,8.9,4658,0,0,6.24,3.41,2.9,71,2022-04-09,0.4
4,1094629,2073,2,1.0,350,Mattapan,0.98,2.8,3212,0,0,5.85,4.68,5.0,19,2021-04-09,0.47
1,228085,1727,3,2.0,171,South End,0.38,7.1,6188,0,0,3.09,2.76,4.5,44,2024-04-08,0.22
7,641267,1985,2,2.5,58,Charlestown,0.51,5.3,4434,0,0,3.24,4.0,2.9,21,2018-04-10,0.32
1,414099,1392,3,3.5,44,Mattapan,0.32,5.9,4272,0,0,3.46,2.13,3.4,11,2024-04-08,0.19
5,361595,400,3,3.5,56,Allston,0.95,6.1,6024,0,0,3.61,4.39,3.5,42,2020-04-09,0.41
6,1098248,1706,4,3.0,142,South Boston,1.07,9.9,5423,0,0,2.0,3.11,5.9,52,2019-04-10,0.57
3,609689,2795,4,3.0,144,North End,1.01,5.3,3603,0,0,5.69,3.45,1.8,34,2022-04-09,0.31
7,853951,2448,3,1.5,172,Dorchester,0.9,8.4,7501,0,0,3.82,3.07,2.8,18,2018-04-10,0.47
1,735923,2475,3,1.5,50,Back Bay,0.16,8.7,2621,0,0,5.19,3.22,1.1,115,2024-04-08,0.23
1,893112,2665,3,1.5,110,South Boston,0.29,3.5,2937,0,0,4.03,2.29,3.7,51,2024-04-08,0.24
13,773046,1862,4,2.0,52,East Boston,0.44,6.1,6336,0,0,4.47,3.9,2.6,38,2012-04-11,0.31
4,365102,1938,2,2.0,192,West Roxbury,0.28,9.2,8502,0,0,3.47,4.17,2.7,65,2021-04-09,0.45
1,1048880,1367,2,2.0,51,Jamaica Plain,0.98,5.0,3845,0,0,4.46,1.9,5.7,26,2024-04-08,0.11
6,601873,1578,1,1.5,38,South Boston,0.28,8.8,5825,0,0,3.19,2.78,2.3,94,2019-04-10,0.34
11,283025,2231,3,2.5,43,South End,0.1,7.0,2615,1,8378,4.47,3.54,3.3,52,2014-04-11,0.18
2,621565,2642,3,1.5,84,Brighton,0.36,6.9,3142,0,0,6.69,2.78,2.8,61,2023-04-09,0.31
7,1200227,1702,4,1.5,122,Dorchester,2.74,7.1,7264,0,0,5.28,3.23,2.9,29,2018-04-10,0.27
1,1005066,1484,2,2.0,118,South End,0.18,7.5,5731,0,0,4.94,5.44,7.7,19,2024-04-08,0.16
1,645404,1800,3,2.5,44,Beacon Hill,0.66,5.6,7326,0,0,2.52,2.28,0.9,39,2024-04-08,0.3
6,645222,2220,4,2.5,68,West Roxbury,0.4,6.6,7172,0,0,5.35,0.73,4.5,27,2019-04-10,0.47
6,653509,789,4,2.0,63,Mattapan,0.05,7.6,1000,0,0,5.5,2.78,7.1,101,2019-04-10,0.39
8,1373024,400,3,1.5,40,South Boston,0.47,7.3,2608,0,0,4.9,3.11,5.1,17,2017-04-10,0.62
10,864580,1414,3,2.0,62,Dorchester,0.85,7.5,5548,0,0,4.82,2.91,3.6,75,2015-04-11,0.35
27,879012,945,2,1.0,169,Roslindale,0.5,5.9,1605,0,0,4.29,3.82,1.7,15,1998-04-15,0.11
6,1059085,1444,4,2.0,37,West Roxbury,1.44,7.9,2891,0,0,5.47,2.27,5.5,21,2019-04-10,0.31
3,821636,1696,2,2.0,95,South End,0.24,7.2,7853,0,0,6.6,2.09,4.9,15,2022-04-09,0.21
12,672287,1482,4,1.0,171,Beacon Hill,0.06,4.6,3916,0,0,5.0,2.69,1.2,26,2013-04-11,0.24
3,691095,2816,3,1.5,166,Brighton,1.93,6.2,6420,1,3680,3.04,2.72,3.0,31,2022-04-09,0.07
5,728519,2028,3,4.0,197,Roxbury,0.33,5.7,4943,0,0,3.16,6.05,1.7,24,2020-04-09,0.58
1,738833,2010,1,4.0,100,Mattapan,0.6,5.6,3640,0,0,5.59,5.36,0.5,44,2024-04-08,0.42
1,968288,2235,3,2.0,108,Mattapan,1.1,6.3,1671,0,0,3.05,1.5,1.7,31,2024-04-08,0.32
24,765583,1002,3,1.0,62,South Boston,0.27,7.9,5466,0,0,4.8,1.18,3.7,13,2001-04-14,0.01
13,969792,2527,2,1.5,36,Brighton,0.88,6.1,7909,0,0,3.98,3.4,4.4,21,2012-04-11,0.07
9,725785,1746,3,2.0,78,Roxbury,0.1,7.3,3696,0,0,2.89,5.79,3.0,29,2016-04-10,0.48
4,773590,2269,5,3.5,151,South End,0.24,7.1,5137,1,6059,5.75,4.3,5.6,63,2021-04-09,0.11
2,200000,1049,3,1.0,18,Charlestown,0.11,5.8,1960,0,0,5.56,3.46,5.0,37,2023-04-09,0.41
2,1024898,712,3,2.5,64,South End,1.17,6.5,3655,0,0,2.47,2.95,3.3,27,2023-04-09,0.34
3,853946,2372,1,1.0,114,Beacon Hill,0.18,8.3,5681,0,0,5.22,4.79,3.1,16,2022-04-09,0.34
6,1049403,2063,3,4.0,85,Roxbury,0.88,7.2,6487,0,0,5.0,3.71,4.1,38,2019-04-10,0.32
9,200000,1168,2,2.0,161,East Boston,2.01,7.8,6111,0,0,5.76,5.58,3.5,72,2016-04-10,0.31
8,1376512,1191,3,2.5,143,Beacon Hill,0.53,8.9,1000,0,0,4.75,1.47,1.4,29,2017-04-10,0.4
3,708123,2587,4,1.5,34,Allston,0.54,7.7,4086,0,0,6.64,4.01,3.1,22,2022-04-09,0.46
22,1082454,967,3,2.0,89,Fenway,0.43,4.1,3065,0,0,4.31,2.82,4.5,48,2003-04-14,0.01
10,438028,2949,1,1.5,54,Fenway,0.28,7.4,4381,0,0,4.09,4.0,5.5,64,2015-04-11,0.27
6,933832,1169,3,1.0,53,Fenway,0.45,6.1,4777,0,0,3.04,3.8,4.9,32,2019-04-10,0.41
7,433975,2246,3,3.5,35,South End,0.65,9.7,7132,0,0,3.1,4.11,4.0,51,2018-04-10,0.45
4,562869,1569,3,3.5,97,Roxbury,2.99,7.6,5590,0,0,2.96,4.67,5.7,28,2021-04-09,0.27
2,1324209,2222,4,3.0,163,Dorchester,1.94,6.1,7835,0,0,4.83,5.17,4.1,52,2023-04-09,0.15
4,692795,1419,4,2.0,102,Mattapan,1.39,7.8,3600,0,0,4.1,5.84,3.4,74,2021-04-09,0.45
10,815229,1686,3,3.0,34,Dorchester,1.54,7.1,2165,0,0,5.0,3.52,5.7,57,2015-04-11,0.15
1,1011020,1828,3,1.0,82,Dorchester,0.44,4.4,7910,0,0,2.69,2.85,4.6,47,2024-04-08,0.35
1,898704,1098,2,1.5,112,Dorchester,0.75,8.3,5866,1,17613,3.22,2.03,5.5,88,2024-04-08,0.01
1,795125,2318,2,1.5,79,Allston,1.58,6.4,3513,1,7685,3.19,4.02,1.7,30,2024-04-08,0.01
1,859488,1440,3,2.0,101,Roslindale,0.35,9.1,5875,0,0,7.75,4.5,2.2,47,2024-04-08,0.2
14,1471024,1639,3,2.0,56,Fenway,2.28,6.8,6670,1,5411,4.25,1.88,2.3,31,2011-04-12,0.01
9,732714,1103,3,1.0,73,Allston,0.38,9.2,5238,0,0,4.4,4.87,3.8,47,2016-04-10,0.28
5,810329,400,3,2.0,71,Hyde Park,0.64,7.6,3541,0,0,4.38,3.38,6.2,51,2020-04-09,0.4
1,1065196,1666,1,3.0,179,South End,0.87,8.5,4117,0,0,6.83,1.99,1.8,59,2024-04-08,0.32
5,1081657,3488,3,2.0,45,Jamaica Plain,2.11,6.3,5581,0,0,2.08,2.48,4.9,36,2020-04-09,0.34
5,1106109,2349,2,1.0,20,Mattapan,0.2,7.5,5397,0,0,4.41,2.37,1.7,14,2020-04-09,0.3
2,941619,1786,2,1.5,173,North End,0.96,4.4,7424,0,0,2.07,2.39,6.7,31,2023-04-09,0.23
4,407098,1615,4,1.5,90,Dorchester,0.51,6.8,4448,0,0,2.0,4.18,1.1,50,2021-04-09,0.53
4,1240029,1815,1,1.5,39,Beacon Hill,0.22,4.8,3072,0,0,3.4,4.54,4.6,42,2021-04-09,0.55
7,406096,2182,3,2.0,136,South End,1.05,5.3,10154,0,0,5.12,5.54,4.8,45,2018-04-10,0.18
8,840790,973,2,2.0,115,Allston,0.56,5.7,5348,0,0,3.3,2.66,4.4,53,2017-04-10,0.46
1,523717,2580,4,2.5,194,South Boston,0.76,8.0,6668,0,0,5.09,3.91,2.2,19,2024-04-08,0.28
4,730758,2300,3,2.0,94,West Roxbury,0.27,6.8,6043,0,0,4.66,2.72,1.9,55,2021-04-09,0.45
7,848628,2302,2,3.0,268,Mattapan,0.46,7.0,5373,1,20536,4.29,3.52,5.4,91,2018-04-10,0.13
5,846407,2106,3,1.5,79,Beacon Hill,0.67,6.7,4544,0,0,6.4,1.72,5.1,29,2020-04-09,0.2
14,876576,1813,3,2.0,116,Roslindale,0.36,8.6,1000,0,0,3.61,2.15,5.1,60,2011-04-12,0.16
8,1234113,2271,5,3.0,125,Roxbury,0.15,7.0,2873,0,0,5.07,4.46,5.2,37,2017-04-10,0.28
2,886060,2214,2,1.5,354,Roslindale,2.28,7.4,5658,0,0,2.0,1.72,1.2,44,2023-04-09,0.14
1,676753,1552,4,1.0,65,Hyde Park,0.5,6.1,1000,0,0,4.65,4.24,1.2,57,2024-04-08,0.14
8,1039226,1398,4,3.0,64,Brighton,0.93,8.7,5143,1,17255,4.11,2.69,2.5,42,2017-04-10,0.23
1,1106841,1871,4,1.5,126,North End,0.37,8.8,6322,0,0,2.73,1.19,2.8,28,2024-04-08,0.24
7,381717,2884,3,2.5,37,Back Bay,0.31,6.9,6666,0,0,5.1,0.5,2.6,43,2018-04-10,0.46
20,929220,932,3,1.0,54,South End,0.37,6.1,6196,0,0,3.39,5.26,3.9,22,2005-04-13,0.07
6,960351,772,3,2.5,78,Jamaica Plain,0.37,4.6,6916,0,0,7.1,1.21,5.2,16,2019-04-10,0.33
4,660730,1915,4,1.5,191,Allston,0.55,5.7,8211,0,0,2.0,3.42,3.1,77,2021-04-09,0.36
8,1162712,1835,3,1.0,126,Back Bay,0.55,3.7,7192,0,0,4.87,3.92,2.3,46,2017-04-10,0.33
5,704983,1921,3,2.0,88,Jamaica Plain,0.48,5.6,5393,0,0,4.56,1.92,4.7,52,2020-04-09,0.34
6,787672,1970,3,1.5,62,Back Bay,0.1,7.5,4730,0,0,4.08,2.84,3.1,40,2019-04-10,0.3
20,698078,1643,3,2.0,232,South Boston,0.48,6.9,5229,0,0,3.71,4.07,3.7,15,2005-04-13,0.05
4,754673,2842,4,1.0,82,Hyde Park,0.13,10.0,4449,0,0,4.6,3.85,3.0,73,2021-04-09,0.49
23,421117,679,2,1.0,54,South Boston,0.09,6.4,7235,0,0,6.09,2.95,4.0,28,2002-04-14,0.01
17,317984,1220,4,1.5,256,Dorchester,1.89,6.3,6144,0,0,2.0,3.78,2.0,31,2008-04-12,0.17
2,1228351,1727,3,1.0,38,East Boston,0.65,8.6,4237,1,6263,3.29,3.38,4.6,68,2023-04-09,0.1
1,495911,649,4,3.5,166,Back Bay,0.75,4.1,7648,0,0,2.92,2.34,3.5,21,2024-04-08,0.24
1,452582,1676,3,1.0,85,Brighton,0.36,4.8,4416,0,0,2.85,4.94,2.4,29,2024-04-08,0.1
1,200000,2963,3,2.0,126,Roslindale,1.68,8.0,3108,0,0,5.01,3.75,4.3,28,2024-04-08,0.07
1,558311,1814,4,1.0,114,Dorchester,0.71,6.7,4978,0,0,5.38,1.29,2.4,21,2024-04-08,0.26
9,353073,1961,2,1.5,125,Allston,1.03,6.7,3351,0,0,6.1,4.13,2.4,37,2016-04-10,0.44
1,1242604,917,4,3.5,268,Roslindale,0.32,5.6,6872,0,0,5.41,2.76,1.7,23,2024-04-08,0.17
3,1052945,1368,3,1.5,246,Fenway,2.25,7.4,3309,0,0,5.53,3.15,0.9,75,2022-04-09,0.52
14,543554,1537,3,4.0,55,Roslindale,1.2,5.8,4769,0,0,2.38,3.51,4.3,16,2011-04-12,0.19
1,1425730,1577,2,1.5,112,Mattapan,1.35,7.1,6879,0,0,6.73,2.55,5.2,18,2024-04-08,0.13
12,1044529,2697,3,2.5,27,Jamaica Plain,0.13,5.3,3575,1,28282,4.19,5.66,2.8,29,2013-04-11,0.02
3,652550,2190,2,2.0,132,Charlestown,0.22,6.7,5822,0,0,6.05,1.71,2.3,35,2022-04-09,0.57
1,200000,1021,1,3.0,149,Mattapan,0.24,10.0,3053,0,0,2.44,3.57,0.8,24,2024-04-08,0.15
9,1437282,1972,2,2.0,20,South Boston,0.22,6.4,5488,0,0,4.14,3.96,0.5,54,2016-04-10,0.4
7,333128,2148,1,2.0,83,Allston,1.35,6.8,6134,0,0,5.91,3.55,4.6,32,2018-04-10,0.35
15,256380,2598,5,1.5,126,North End,0.02,6.7,4915,0,0,4.54,3.27,0.5,47,2010-04-12,0.16
10,1056771,2906,5,1.5,103,Back Bay,0.06,7.3,5067,0,0,3.37,3.05,1.8,72,2015-04-11,0.43
12,1481925,1089,3,3.5,38,Fenway,0.22,7.7,5887,0,0,6.46,2.54,3.9,87,2013-04-11,0.13
3,1165281,1232,3,1.5,41,Charlestown,0.16,7.4,4438,0,0,2.74,2.51,3.6,30,2022-04-09,0.43
2,919172,919,2,2.0,78,Dorchester,0.18,7.4,6779,0,0,4.47,4.89,4.0,37,2023-04-09,0.5
10,928426,1636,3,2.5,65,Fenway,1.12,6.7,7742,1,7979,5.46,2.97,3.5,41,2015-04-11,0.07
12,1006024,2126,4,1.5,69,West Roxbury,0.58,7.2,3148,0,0,7.64,6.06,3.0,30,2013-04-11,0.29
33,977678,2491,4,4.0,35,Roslindale,0.0,6.7,8534,0,0,3.81,4.3,1.8,20,1992-04-16,0.2
4,834357,1746,3,2.5,86,Back Bay,0.39,4.3,4393,0,0,4.09,0.5,2.5,62,2021-04-09,0.37
4,781260,1576,4,2.0,192,Beacon Hill,0.37,10.0,8988,1,10903,3.83,4.56,3.1,20,2021-04-09,0.15
11,731222,1906,2,3.0,40,Brighton,0.08,8.1,4420,0,0,4.86,3.44,0.7,66,2014-04-11,0.34
3,523810,1215,5,1.0,74,Dorchester,0.79,5.5,6414,0,0,5.38,1.83,2.3,45,2022-04-09,0.44
19,665797,3262,1,1.5,118,Brighton,0.85,7.3,6404,0,0,6.14,5.07,2.9,41,2006-04-13,0.01
14,242112,674,3,2.0,30,Mattapan,0.89,5.0,4225,0,0,5.63,2.98,2.5,23,2011-04-12,0.28
4,720498,1929,3,1.5,87,Fenway,0.91,6.3,5145,0,0,3.75,2.87,3.0,13,2021-04-09,0.52
10,453422,3216,3,2.5,147,East Boston,0.0,4.8,7879,1,8987,5.72,3.95,4.5,61,2015-04-11,0.16
10,418923,1804,2,3.5,45,Roslindale,2.15,6.9,4355,0,0,4.64,4.87,4.7,23,2015-04-11,0.25
1,803968,1666,4,2.0,91,Mattapan,1.18,4.6,4164,0,0,5.62,3.64,5.8,47,2024-04-08,0.19
17,1167600,1549,2,1.5,141,Mattapan,1.64,7.6,2693,0,0,5.7,3.55,1.2,48,2008-04-12,0.01
5,1025494,1673,3,4.0,261,Hyde Park,0.01,8.0,8135,0,0,6.95,2.66,2.9,35,2020-04-09,0.47
13,278849,2760,2,2.0,89,East Boston,1.9,5.8,4038,0,0,3.97,4.85,5.3,41,2012-04-11,0.04
3,453111,400,2,2.0,54,Dorchester,1.16,7.2,7399,1,4212,3.68,3.65,0.9,45,2022-04-09,0.21
16,1032231,2873,3,2.0,24,Beacon Hill,1.27,5.7,3797,0,0,5.17,3.23,1.7,39,2009-04-12,0.01
4,455253,803,3,3.5,55,Brighton,0.07,7.8,7337,1,7499,6.27,3.08,2.6,22,2021-04-09,0.25
1,682610,1613,2,2.0,34,Charlestown,0.94,6.0,6613,0,0,4.59,4.73,6.6,16,2024-04-08,0.24
17,915015,1499,2,2.5,200,North End,2.25,8.2,4543,0,0,6.37,3.19,2.0,24,2008-04-12,0.19
1,459496,2211,3,3.0,136,Hyde Park,0.79,4.3,3531,0,0,5.54,4.74,5.1,28,2024-04-08,0.37
3,781612,681,4,1.5,41,Back Bay,0.59,5.5,3693,0,0,4.2,2.93,3.5,74,2022-04-09,0.47
21,349792,2123,4,2.0,53,North End,2.04,5.3,3668,0,0,5.35,4.37,1.8,18,2004-04-13,0.18
22,569589,3217,1,3.0,88,Dorchester,0.41,7.3,7130,0,0,3.85,3.75,7.7,81,2003-04-14,0.01
6,845934,845,3,2.0,146,Hyde Park,0.64,7.8,5320,0,0,4.86,2.36,3.8,96,2019-04-10,0.26
7,272101,1932,2,2.5,112,Allston,0.45,7.4,2769,0,0,2.89,3.4,4.1,25,2018-04-10,0.3
5,882142,1336,1,3.5,106,Hyde Park,1.89,6.2,4495,0,0,4.4,0.87,4.3,94,2020-04-09,0.17
3,744108,2098,3,2.0,95,Brighton,0.06,2.8,4737,0,0,6.0,2.61,4.2,33,2022-04-09,0.21
3,915746,1813,3,2.5,43,Fenway,0.49,7.1,1000,0,0,5.65,1.61,6.7,30,2022-04-09,0.33
8,817174,1350,2,3.0,89,South End,0.81,8.2,4606,0,0,5.43,5.9,6.2,74,2017-04-10,0.31
10,1159242,2141,2,3.0,83,North End,1.1,10.0,6446,0,0,4.93,1.62,2.1,40,2015-04-11,0.26
11,787567,3063,1,2.0,34,Roslindale,0.61,6.4,4724,0,0,4.74,6.6,6.5,37,2014-04-11,0.29
11,621178,1666,4,1.0,198,Beacon Hill,1.68,6.0,5508,0,0,2.6,4.12,2.4,24,2014-04-11,0.23
1,786689,2303,5,2.0,59,Charlestown,1.99,7.5,5969,0,0,4.19,2.88,4.0,25,2024-04-08,0.11
5,912989,894,2,2.5,34,Hyde Park,0.05,6.6,4314,0,0,4.77,4.47,1.3,37,2020-04-09,0.41
1,764658,1130,2,2.0,65,Fenway,0.36,8.9,6461,0,0,2.81,2.73,5.1,74,2024-04-08,0.12
6,762177,2130,4,2.5,73,North End,0.02,5.8,7914,0,0,2.0,1.81,3.0,19,2019-04-10,0.36
5,539402,2838,4,2.0,81,Fenway,0.28,6.6,1952,0,0,6.19,3.59,1.8,33,2020-04-09,0.55
16,551129,2048,3,2.0,72,Fenway,0.54,8.3,4310,0,0,4.58,4.34,5.3,17,2009-04-12,0.04
4,329218,1580,1,1.5,84,Fenway,1.69,7.5,9659,1,8274,4.81,5.03,5.7,24,2021-04-09,0.34
1,1274873,1799,1,2.5,92,North End,1.31,8.7,5341,0,0,5.33,4.1,5.7,51,2024-04-08,0.38
2,376841,924,3,2.0,89,North End,0.1,6.3,4930,0,0,3.03,2.86,1.2,21,2023-04-09,0.24
11,542128,2223,3,1.5,105,South End,0.07,8.9,4483,0,0,3.89,5.16,5.9,64,2014-04-11,0.13
7,534477,2417,1,1.5,109,Back Bay,0.62,4.5,7548,0,0,6.76,4.9,3.0,21,2018-04-10,0.39
1,1018477,1483,3,2.5,110,Mattapan,0.53,4.6,3122,0,0,3.77,3.82,6.6,26,2024-04-08,0.37
1,661515,1470,1,2.0,126,Jamaica Plain,0.22,8.9,6852,0,0,4.1,4.95,4.4,14,2024-04-08,0.19
9,1124322,1986,4,1.5,55,Roslindale,1.61,7.0,4446,1,1358,3.5,6.12,3.9,64,2016-04-10,0.23
1,547952,1494,2,4.0,56,Jamaica Plain,1.84,8.4,3500,0,0,3.39,2.85,3.5,58,2024-04-08,0.36
13,833698,1753,1,2.5,147,Brighton,0.36,7.1,4537,0,0,6.16,2.42,3.5,17,2012-04-11,0.06
9,499395,3269,3,4.0,66,Jamaica Plain,1.55,7.0,4907,0,0,2.0,2.81,2.5,30,2016-04-10,0.27
1,1393544,1627,3,2.0,79,East Boston,0.34,5.0,4004,0,0,3.81,1.88,1.9,28,2024-04-08,0.33
1,393720,1549,5,2.0,75,Mattapan,0.93,7.0,7225,0,0,4.84,4.21,3.0,27,2024-04-08,0.26
31,842946,1346,3,3.0,256,East Boston,0.45,9.0,3515,0,0,7.05,1.57,5.3,97,1994-04-16,0.17
4,940133,2320,2,2.0,50,Dorchester,0.09,7.1,5280,0,0,2.8,5.02,1.4,27,2021-04-09,0.35
4,874139,1673,3,2.5,49,Brighton,1.84,8.0,6074,0,0,2.54,2.69,5.5,22,2021-04-09,0.34
12,694413,1345,2,1.5,84,East Boston,0.42,8.0,5259,0,0,3.21,5.13,3.7,14,2013-04-11,0.04
21,711053,2724,4,2.0,76,Fenway,0.93,5.5,6544,0,0,5.55,0.5,4.7,22,2004-04-13,0.05
